id,name,price
1,Laptop Pro 15,1299.99
2,Wireless Mouse,29.99
3,Mechanical Keyboard,89.99
4,4K Monitor 27",349.99
5,Noise-Canceling Headphones,199.99
6,USB-C Hub,39.99
7,External SSD 1TB,129.99
8,Ergonomic Chair,249.99
9,Smartphone X12,899.99
10,Bluetooth Speaker,59.99
11,Gaming Mousepad,19.99
12,Webcam HD,69.99
13,Wireless Earbuds,79.99
14,Laptop Stand,34.99
15,Power Bank 20000mAh,49.99
16,RGB Desk Lamp,45.99
17,Office Desk,179.99
18,Wireless Charger,29.99
19,Portable Monitor,219.99
20,Keyboard Wrist Rest,24.99
21,HDMI Cable,12.99
22,Laptop Backpack,49.99
23,Printer All-in-One,149.99
24,Tablet 10",299.99
25,Fitness Tracker,79.99
26,Smart Watch,159.99
27,Graphic Tablet,199.99
28,Mini Projector,129.99
29,Desk Organizer,14.99
30,Wi-Fi Router,89.99
31,External HDD 2TB,89.99
32,USB Flash Drive 128GB,19.99
33,Air Purifier,149.99
34,Electric Kettle,29.99
35,Stainless Steel Water Bottle,22.99
36,Wireless Gaming Controller,59.99
37,Reading Light,15.99
38,Adjustable Dumbbells,119.99
39,Yoga Mat,24.99
40,Resistance Bands,18.99
41,Smart Bulb,29.99
42,Robot Vacuum,249.99
43,Digital Notepad,129.99
44,Blender,49.99
45,Toaster,39.99
46,Food Processor,89.99
47,Coffee Maker,59.99
48,Air Fryer,79.99
49,Slow Cooker,34.99
50,Standing Desk Converter,119.99